No.	时间（s）	Dev1/ai0-1-测振（mm/s）	VH01-V1-Dev1/ai0一次积分（μm）
1	0	59.7304357572574	0
2	0.001	61.9806915065762	59.5545205505733
3	0.002	63.8246511642043	121.15614880462
4	0.003	64.8091381320679	184.172000371413
5	0.004	64.7778845771867	247.664468644697
6	0.005	64.0746795983608	310.789707651127
7	0.006	62.3244805894084	372.688244663668
8	0.007	60.0117177197506	432.555300736904
9	0.008	57.1988981728198	489.859565601846
10	0.009	53.74538107212	544.030662142972
11	0.01	50.1824768101093	594.693548002743
12	0.011	46.4633050854797	641.715395869194
13	0.012	42.7910139336902	685.041512297436
14	0.013	39.4312584126867	724.851605389281
15	0.014	36.0402495494716	761.286316289016
16	0.015	32.9930297649223	794.50191286487
17	0.016	29.9770636604521	824.685916496214
18	0.017	26.9298441598669	851.83832732503
19	0.018	23.8982515575994	875.951332102419
20	0.019	20.3666026003736	896.782716100062
21	0.02	16.5849255740859	913.957437105949
22	0.021	12.2406852311761	927.069199427236
23	0.022	7.0213463817942	935.399172152378
24	0.023	1.30195141326127	938.259777968562
25	0.024	-5.49568980283327	934.861865692433
26	0.025	-12.9184011311757	924.353777144085
27	0.026	-21.0130628704962	906.087002061905
28	0.027	-29.7640483258062	879.39740338241
29	0.028	-38.7181815952984	843.855245340515
30	0.029	-48.1723712918078	799.108925815618
31	0.03	-57.5484275040876	744.947483336327
32	0.031	-66.7369630858165	681.503744960031
33	0.032	-75.8942458159619	608.887097427799
34	0.033	-84.426458816022	527.425702030463
35	0.034	-92.7555247427035	437.533667169757
36	0.035	-100.443894160137	339.632914636993
37	0.036	-107.382179565416	234.418834692874
38	0.037	-114.007930384265	122.422736636689
39	0.038	-119.68044885248	4.27750393697326
40	0.039	-125.071686026244	-119.399606583732
41	0.04	-129.634704650903	-248.053845003649
42	0.041	-133.213236713638	-380.778858767263
43	0.042	-136.151071123443	-516.762055767147
44	0.043	-137.713749086751	-654.995508953587
45	0.044	-138.15129892732	-794.229076041966
46	0.045	-137.04179755514	-933.12666736454
47	0.046	-133.932068518104	-1069.91464348251
48	0.047	-129.165901345909	-1202.76467149586
49	0.048	-121.977584616438	-1329.63745755837
50	0.049	-112.726535115035	-1448.29056050545
51	0.05	-101.22523256671	-1556.56748742767
52	0.051	-87.4580511869942	-1652.21017238586
53	0.052	-71.9250480881181	-1733.20276510476
54	0.053	-54.6887303143081	-1797.81069738732
55	0.054	-36.358540887439	-1844.63537606954
56	0.055	-17.6220559559155	-1872.92671757256
57	0.056	1.1925640805508	-1882.44250659158
58	0.057	19.3508628858885	-1873.47183618971
59	0.058	36.1027566235512	-1847.04606951633
60	0.059	51.0263225332409	-1804.78257301928
61	0.06	63.4808620695922	-1748.83002379921
62	0.061	73.2475988062209	-1681.76683644264
63	0.062	79.888981152177	-1606.49958954479
64	0.063	83.3893807907529	-1526.16145165467
65	0.064	83.889437909459	-1443.8230853859
66	0.065	81.51416665708	-1362.42232618398
67	0.066	76.5917300083319	-1284.67042093261
68	0.067	69.7628268731566	-1212.79418557321
69	0.068	61.465007887338	-1148.48131127431
70	0.069	52.6983872490939	-1092.70065678744
71	0.07	43.5098453736509	-1045.89758355741
72	0.071	34.7276010085595	-1008.07990344765
73	0.072	26.9923512251899	-978.520970412116
74	0.073	20.3666026003736	-956.142536580678
75	0.074	15.5066788502038	-939.506938936732
76	0.075	12.3500725753583	-926.879606305295
77	0.076	10.6936356628528	-916.658795267533
78	0.077	10.8186497684455	-907.203695633227
79	0.078	12.0844175968539	-897.053205031921
80	0.079	14.5221927227622	-885.050942953456
81	0.08	17.6162920184867	-870.282743664175
82	0.081	20.7572717248118	-852.39700487387
83	0.082	24.3358009974948	-831.15151159406
84	0.083	27.3361400854668	-806.616584133922
85	0.084	29.9614368934326	-779.268838725816
86	0.085	32.3367055229804	-749.420810598953
87	0.086	33.7274878532266	-717.689756992193
88	0.087	34.8526151541064	-684.70074856987
89	0.088	35.5870732643132	-650.781947442004
90	0.089	36.0558763179855	-616.261515732198
91	0.09	36.6809470618454	-581.194147123626
92	0.091	37.1497501239949	-545.579841612049
93	0.092	38.2592507190961	-509.176384271847
94	0.093	39.6500331847711	-471.522785401257
95	0.094	41.5252455511688	-432.236189114631
96	0.095	44.0724091158382	-390.738404862471
97	0.096	46.8696011432766	-346.568442814257
98	0.097	50.1043429475723	-299.382513850176
99	0.098	53.4484723737489	-248.907149270858
100	0.099	56.6363342840009	-195.165789023327
101	0.1	59.7460625329056	-138.275633696217
102	0.101	62.0275718358957	-78.68985959316
103	0.102	63.8246511642043	-17.0647911744534
104	0.103	64.7935113546245	45.9432470036175
105	0.104	64.7622577997547	109.420088499464
106	0.105	64.105933152732	172.553140894363
107	0.106	62.3869876956659	234.498558237219
108	0.107	60.0742248227647	294.428121415091
109	0.108	57.2614052719963	351.794893381128
110	0.109	53.8078881667458	406.028497019155
111	0.11	50.1981035826312	456.7304498125
112	0.111	46.5414389425052	503.799177993725
113	0.112	42.8222674743634	547.179988120816
114	0.113	39.4312584126867	587.005707982998
115	0.114	36.1027566235512	623.471672419773
116	0.115	33.0242833004213	656.734149300416
117	0.116	29.9926904274752	686.941593083021
118	0.117	26.9610976925214	714.117444061675
119	0.118	23.9138783232651	738.253888988225
120	0.119	20.4134828952034	759.116526516116
121	0.12	16.6318058667383	776.338127815743
122	0.121	12.3188190484359	789.512397191987
123	0.122	7.13073372016128	797.936130494942
124	0.123	1.30195141326127	800.85142998031
125	0.124	-5.40192923657356	797.50039798731
126	0.125	-12.871520850036	787.062629862662
127	0.126	-20.9349290710301	768.858361820786
128	0.127	-29.7484215661669	742.215643420844
129	0.128	-38.765061874327	706.657858619253
130	0.129	-48.1723712918078	661.888098954842
131	0.13	-57.6265613077278	607.687589573731
132	0.131	-66.7838433709692	544.181344153039
133	0.132	-75.956752868036	471.510002952193
134	0.133	-84.5514729321515	389.954846970756
135	0.134	-92.7711515089257	299.992491668874
136	0.135	-100.537654768407	202.037045448864
137	0.136	-107.444686644883	96.7448316608753
138	0.137	-114.03918392781	-15.2981467068144
139	0.138	-119.82108981447	-133.529326659298
140	0.139	-125.040432475615	-257.261130885684
141	0.14	-129.650331427822	-385.907555918747
142	0.141	-133.244490270098	-518.65600984905
143	0.142	-136.197951461467	-654.678273796176
144	0.143	-137.838763326427	-792.997674271467
145	0.144	-138.135672147218	-932.285935089633
146	0.145	-137.104304673888	-1071.20696658153
147	0.146	-133.99457563212	-1208.05744981588
148	0.147	-129.197154899419	-1340.95435816299
149	0.148	-122.1338523595	-1467.92090487379
150	0.149	-112.773415429212	-1586.67558184949
151	0.15	-101.287739639662	-1695.00720246527
152	0.151	-87.5205582474157	-1790.71239449015
153	0.152	-71.9719283753651	-1871.75968088289
154	0.153	-54.7512373562396	-1936.42230683003
155	0.154	-36.3429141278019	-1983.2704256534
156	0.155	-17.5908024357823	-2011.53832701653
157	0.156	1.30195141326127	-2020.98379560914
158	0.157	19.413369944867	-2011.92717801142
159	0.158	36.1496369291531	-1985.44671765575
160	0.159	51.1200831700216	-1943.11290068751
161	0.16	63.590249508492	-1887.05877742959
162	0.161	73.3101059288714	-1819.90964279225
163	0.162	79.9983686358441	-1744.55644859124
164	0.163	83.4206343604687	-1664.14799017443
165	0.164	83.9206914796089	-1581.77837033573
166	0.165	81.51416665708	-1500.36198434873
167	0.166	76.5761032263418	-1422.61789248836
