No.	时间（s）	Dev1/ai0-1-测振（mm/s）	VH01-V1-Dev1/ai0一次积分（μm）
1	0	59.5272876743217	0
2	0.001	58.6209346999687	57.5761470940248
3	0.002	57.3082855964339	114.042793149106
4	0.003	55.4643262039481	168.931134956176
5	0.004	53.2296975445322	221.780182737296
6	0.005	50.5887728972543	272.191453865069
7	0.006	47.6196861813196	319.797719311236
8	0.007	44.6037193221283	364.411457969839
9	0.008	41.1345763030721	405.782641689319
10	0.009	37.602926420898	443.653428958184
11	0.01	33.8837555326928	477.898805841859
12	0.011	29.8520495243988	508.268744277285
13	0.012	25.789090227468	534.591350060098
14	0.013	21.304208502315	556.640035331869
15	0.014	16.6786861594167	574.133518569614
16	0.015	11.7562555656313	586.853025339018
17	0.016	6.45878292913349	594.46258049328
18	0.017	0.739387988930565	596.563701859192
19	0.018	-5.57382360800554	592.648519956534
20	0.019	-12.2151969129556	582.256045602933
21	0.02	-19.2628657580211	565.019050174325
22	0.021	-26.8262175091585	540.476544447614
23	0.022	-34.6395973282789	508.245672935775
24	0.023	-42.7186320854157	468.068594135808
25	0.024	-51.110202195295	419.656212902332
26	0.025	-59.4392655623928	362.883514930368
27	0.026	-68.0027307911817	297.66455266046
28	0.027	-76.394302233672	223.968072054913
29	0.028	-84.7858744004097	141.880019644752
30	0.029	-93.0524333015175	51.4629017006679
31	0.03	-100.756429521587	-46.9394938040049
32	0.031	-108.21039837397	-152.920871844904
33	0.032	-115.070550875359	-266.059310562688
34	0.033	-121.164992360812	-385.675046273895
35	0.034	-126.681243912641	-511.096128503741
36	0.035	-131.041114596238	-641.455271851301
37	0.036	-134.369618318184	-775.658602401633
38	0.037	-136.432353152397	-912.557552230044
39	0.038	-136.885529758692	-1050.71445777871
40	0.039	-135.651014187861	-1188.48069384511
41	0.04	-132.385017475907	-1323.99667377011
42	0.041	-127.228181071572	-1455.30123713697
43	0.042	-120.024237871399	-1580.42541070157
44	0.043	-110.788815498475	-1697.32990147963
45	0.044	-100.490774464254	-1804.46766055412
46	0.045	-90.8178057576953	-1901.61991475821
47	0.046	-72.7063862115662	-1984.87997483596
48	0.047	-57.3452796147886	-2051.40377184226
49	0.048	-41.2184631481698	-2102.18360731686
50	0.049	-25.0603936613826	-2136.82099981476
51	0.05	-9.08984480105068	-2155.3940831391
52	0.051	6.28688854141697	-2158.29352536203
53	0.052	20.4603631900611	-2146.41786358941
54	0.053	33.43057926331	-2120.97035645585
55	0.054	44.634972863837	-2083.43554448539
56	0.055	53.9641559036639	-2035.63394419476
57	0.056	75.5134820659203	-1972.39308930309
58	0.057	66.6530979105768	-1902.80776340796
59	0.058	69.6534394182376	-1836.15245883668
60	0.059	70.6691800823508	-1767.4891131795
61	0.06	69.7628268731566	-1698.77107379487
62	0.061	67.2781690401748	-1631.74853993133
63	0.062	63.2152068619799	-1567.99981607337
64	0.063	58.1521314444177	-1508.81411101329
65	0.064	52.4639856499994	-1455.0040165592
66	0.065	46.1820232011443	-1407.17897622675
67	0.066	39.9313150358118	-1365.62027120139
68	0.067	33.9775161405593	-1330.16381970633
69	0.068	28.6487884767896	-1300.34863149077
70	0.069	24.1013995115124	-1275.47150158974
71	0.07	20.3353490705027	-1254.75109139185
72	0.071	17.9288273071919	-1237.11696729613
73	0.072	16.2880170545563	-1221.50650920837
74	0.073	15.6785732545514	-1207.02117814694
75	0.074	16.0536155925022	-1192.65304781653
76	0.075	16.9599679160351	-1177.64422015539
77	0.076	18.6476584757281	-1161.33837105262
78	0.077	20.7416449597968	-1143.14168342798
79	0.078	23.1637935750318	-1122.68692825369
80	0.079	25.9766114205729	-1099.61468984901
81	0.08	28.4768940431634	-1073.88590121026
82	0.081	31.1178176628336	-1045.58650945038
83	0.082	33.5712201741488	-1014.73995462501
84	0.083	33.5868469420391	-982.658885160036
85	0.084	75.7947641349454	-929.466043714664
86	0.085	79.9514882856616	-853.090881597481
87	0.086	41.4783652412544	-793.873918927143
88	0.087	43.4785918325878	-752.893404483342
89	0.088	45.2131633887138	-710.045490965812
90	0.089	47.0727491733519	-665.400498777899
91	0.09	48.7135602145299	-619.005308177079
92	0.091	50.510639034087	-570.891172645891
93	0.092	52.3858517838832	-520.940891330026
94	0.093	54.0735433198075	-469.209157871301
95	0.094	55.8081152377465	-415.766292685644
96	0.095	57.2457784971943	-360.737309911294
97	0.096	58.4959204980205	-304.364424506807
98	0.097	59.3710199188362	-246.928918391499
99	0.098	59.8554499625939	-188.813647543904
100	0.099	59.9179570653917	-130.424908123032
101	0.1	59.5429144498998	-72.1924364585063
102	0.101	58.6209346999687	-14.6084759766924
103	0.102	57.3395391460852	41.8737968532142
104	0.103	55.4486994297438	96.7699520480084
105	0.104	53.2922046384937	149.642439989007
106	0.105	50.6043996699024	200.092778050084
107	0.106	47.666566496555	247.730297040193
108	0.107	44.5880925512807	292.35966247099
109	0.108	41.1658298428205	333.738659574921
110	0.109	37.6341799587425	371.640700382582
111	0.11	33.8837555326928	405.901704035179
112	0.111	29.8833030583901	436.2872692376
113	0.112	25.7734634613981	462.617688404374
114	0.113	21.3823423279879	484.697627205947
115	0.114	16.6786861594167	502.230177356529
116	0.115	11.7718823289967	514.957497507615
117	0.116	6.45878292913349	522.57486604356
118	0.117	0.692507703685369	524.652547266849
119	0.118	-5.57382360800554	520.713925221569
120	0.119	-12.2151969129556	510.321450867968
121	0.12	-19.2003587181104	493.115708959314
122	0.121	-26.8105907494662	468.612270132406
123	0.122	-34.6395973282789	436.389212000413
124	0.123	-42.7030053256277	396.219946580339
125	0.124	-51.0945754350779	347.823192106866
126	0.125	-59.4705190842011	291.042680754106
127	0.126	-68.0183575530583	225.800278342356
128	0.127	-76.4568092860659	152.064730829674
129	0.128	-84.8171279295617	69.9297981287398
130	0.129	-93.0680600678056	-20.5107599630643
131	0.13	-100.80330982594	-118.944409003058
132	0.131	-108.257278684253	-224.972667351274
133	0.132	-115.117431191647	-338.157986382345
134	0.133	-121.227499456907	-457.828415799742
135	0.134	-126.681243912641	-583.280751577636
136	0.135	-131.0723681511	-713.655521702626
137	0.136	-134.400871875509	-847.890105809051
138	0.137	-136.432353152397	-984.804682416124
139	0.138	-136.932410097563	-1122.98502813422
140	0.139	-135.682267746156	-1260.7903311492
141	0.14	-132.431897809685	-1396.34537802025
142	0.141	-127.321941728059	-1527.72026188224
143	0.142	-120.149252060701	-1652.95382286974
144	0.143	-110.898202894322	-1769.97551444037
145	0.144	-99.8500769776812	-1876.84761846949
146	0.145	-87.0986355905479	-1971.81993884673
147	0.146	-72.7688932616887	-2053.25166736597
148	0.147	-57.4077866576244	-2119.83797141874
149	0.148	-41.3278504663549	-2170.70375407385
150	0.149	-25.1229007003365	-2205.42709375032
151	0.15	-9.08984480105068	-2224.03143059413
152	0.151	6.22438149140699	-2226.96212634207
153	0.152	20.4291096601528	-2215.13334485941
154	0.153	33.4149524954583	-2189.70927787473
155	0.154	44.6037193221283	-2152.19790605906
156	0.155	54.1985575099899	-2104.29473173612
157	0.156	60.5586548740651	-2048.41408963721
158	0.157	66.590590798128	-1986.33743089423
159	0.158	69.7315733145784	-1919.674312931
160	0.159	70.7785675400009	-1850.91720659683
161	0.16	69.8253339903846	-1782.11321992476
162	0.161	67.3094225968991	-1715.04380572424
163	0.162	63.3089675233052	-1651.23257475726
164	0.163	58.2146385448816	-1591.96873581628
165	0.164	52.4952391964806	-1538.11176103872
166	0.165	46.2132767437745	-1490.25546716172
167	0.166	39.9156882662735	-1448.68894874981
168	0.167	33.9462626045882	-1413.2559374075
169	0.168	28.6019081766667	-1383.47981610999
170	0.169	24.1326530429334	-1358.61049959331
171	0.17	20.3666026003736	-1337.85883586478
172	0.171	17.8663202493562	-1320.24033853304
173	0.172	16.319270582879	-1304.64550721004
174	0.173	15.6629464905056	-1290.15236276647
175	0.174	16.0848691207389	-1275.77641905397
176	0.175	16.9443411517539	-1260.75977801084
177	0.176	18.6164049465296	-1244.47736905482
178	0.177	20.7260181947849	-1226.30412157728
179	0.178	23.1794203405428	-1205.84936640274
180	0.179	25.960984654462	-1182.77712799836
181	0.18	28.4456405098233	-1157.07177950933
182	0.181	34.6807207040445	-1127.00656299552
183	0.182	67.1375280352038	-1077.59540271902
184	0.183	34.7119742403839	-1028.16861567434
185	0.184	37.9623421071045	-993.329421593719
186	0.185	39.8219276491329	-955.93525080872
187	0.186	41.6502597111315	-916.697121221708
188	0.187	43.4629650620629	-875.638472928231
189	0.188	45.1819098466697	-832.813999566985
190	0.189	47.0414956302122	-788.200260921665
191	0.19	48.6979334424636	-741.828510478447
192	0.191	50.4950122614682	-693.730001719601
193	0.192	52.3545982374715	-643.803160563252
194	0.193	54.0579165460575	-592.094867264608
195	0.194	55.8237420120694	-538.652002078665
196	0.195	57.2770320468036	-483.599579142348
197	0.196	58.4802937228009	-427.218880350666
198	0.197	59.4335270209659	-369.759934071903
199	0.198	59.7773160842181	-311.652476612432
200	0.199	59.9023302896841	-253.310617518601
201	0.2	59.5116608987489	-195.101586017505
