No.	时间（s）	Dev1/ai0-1-测振（mm/s）	VH01-V1-Dev1/ai0一次积分（μm）
1	0	-106.288305685863	0
2	0.001	-112.867176057692	-106.399213231463
3	0.002	-118.867856635596	-219.088201937793
4	0.003	-124.071572416685	-337.379388823619
5	0.004	-128.775231928916	-460.624263356106
6	0.005	-132.588165589319	-588.127434474909
7	0.006	-135.651014187861	-719.068496723184
8	0.007	-137.77625620654	-852.603604280071
9	0.008	-138.510714871363	-987.568562178709
10	0.009	-138.026284686671	-1122.65853431741
11	0.01	-135.697894525312	-1256.34209628309
12	0.011	-131.603678587229	-1386.81435519905
13	0.012	-125.352967982862	-1512.11415084378
14	0.013	-116.758242288897	-1629.99122833934
15	0.014	-105.897636448226	-1738.14064006759
16	0.015	-92.7555247427035	-1834.28869302274
17	0.016	-77.4725488931498	-1916.22420220035
18	0.017	-60.4081247413251	-1981.98601137728
19	0.018	-41.9216673369169	-2029.97237977608
20	0.019	-22.685126175035	-2059.09724889174
21	0.02	-3.24543619619571	-2068.88400243704
22	0.021	15.8035873670196	-2059.42639921132
23	0.022	33.6337272457334	-2031.52921426463
24	0.023	49.6355397748845	-1986.71605311401
25	0.024	63.3089675233052	-1927.0652718246
26	0.025	73.982057503623	-1855.24123167082
27	0.026	81.6391809296579	-1774.25208481386
28	0.027	85.9052932401245	-1687.30132008866
29	0.028	86.8272736233818	-1597.75650901659
30	0.029	84.7332843130722	-1508.79770240805
31	0.03	79.8108472354689	-1423.34710899346
32	0.031	72.7944221699575	-1343.86594665044
33	0.032	64.1996938159808	-1272.19036101715
34	0.033	54.5110929868669	-1209.65643997542
35	0.034	44.8068673435578	-1156.81893216989
36	0.035	35.4308055805552	-1113.52156806752
37	0.036	26.8829638609112	-1079.18615570647
38	0.037	19.8509193590869	-1052.64068645616
39	0.038	14.3971786121319	-1032.33810983023
40	0.039	10.8655300580849	-1016.52822785481
41	0.04	9.20909317126565	-1003.31238859982
42	0.041	9.25597346013015	-990.90132764381
43	0.042	10.9280371109732	-977.630794717944
44	0.043	13.38143896977	-962.297529037258
45	0.044	16.8505805661274	-944.002991628995
46	0.045	20.5853773098188	-922.106485050708
47	0.046	24.1482798086489	-896.56112885116
48	0.047	27.6799289474437	-867.468496832799
49	0.048	30.4771202070158	-835.211444615255
50	0.049	32.7117479461215	-800.438482898372
51	0.05	34.3213050372719	-763.743428766361
52	0.051	35.1651505190802	-725.821673347871
53	0.052	35.8214747906988	-687.149833052668
54	0.053	35.8371015591565	-648.142017237426
55	0.054	36.1027566235512	-608.993560505758
56	0.055	36.4152919949156	-569.55600855621
57	0.056	36.9309753612028	-529.704347237837
58	0.057	38.3530113337199	-488.883826250061
59	0.058	40.0719559618474	-446.492814961963
60	0.059	42.4315982172144	-402.062510232118
61	0.06	45.5256988101569	-354.905334078118
62	0.061	48.8385743912312	-304.54466983711
63	0.062	52.4952391964806	-250.69923540294
64	0.063	56.0737704019391	-193.236202963416
65	0.064	59.3397663678036	-132.35090693823
66	0.065	62.2150931536712	-68.3949495371789
67	0.066	64.1684402615419	-2.0246551892581
68	0.067	65.59047701151	66.0333310875821
69	0.068	65.8092519003177	134.91172318381
70	0.069	65.0904201270229	203.540086837795
71	0.07	63.6371298395332	271.082389461387
72	0.071	61.1212188111719	336.640091427054
73	0.072	58.1677582195257	399.463107582717
74	0.073	54.6673607260685	459.059194695828
75	0.074	50.7919209420585	514.967363170206
76	0.075	47.0258688586494	567.054785710874
77	0.076	43.1973099638201	615.344902762423
78	0.077	39.6187796458512	659.931475207573
79	0.078	36.3059046147546	701.07234497819
