No.	时间（s）	Dev1/ai0-1-测振（mm/s）	VH01-V1-Dev1/ai0一次积分（μm）
1	0	-133.150729600789	0
2	0.001	-136.244831799545	-131.701067525837
3	0.002	-138.541968431868	-266.097754467214
4	0.003	-139.651469845688	-402.197760431661
5	0.004	-139.682723407091	-538.868143883721
6	0.005	-137.885643666406	-674.655614246139
7	0.006	-134.197723753318	-807.700584781671
8	0.007	-128.462696397821	-936.034081682911
9	0.008	-119.946104003248	-1057.24176870912
10	0.009	-108.976110113523	-1168.70616259317
11	0.01	-95.349567983681	-1267.87228846744
12	0.011	-79.2227463956269	-1352.16173248277
13	0.012	-60.9081810941093	-1419.2304830533
14	0.013	-40.7965406353826	-1467.08613074372
15	0.014	-19.7472953168961	-1494.36133554553
16	0.015	1.64574017384802	-1500.41539994272
17	0.016	22.5856032534158	-1485.30301505476
18	0.017	42.1346895836165	-1449.94615546192
19	0.018	59.5272876743217	-1396.11845365862
20	0.019	73.982057503623	-1326.36706789531
21	0.02	85.0301932376019	-1243.86422935037
22	0.021	92.3122760721179	-1152.19628152118
23	0.022	95.4532607820201	-1055.31679991978
24	0.023	94.8750695443254	-957.15592158228
25	0.024	90.7027168576884	-861.370315206943
26	0.025	83.4050075756074	-771.319739815965
27	0.026	73.9039235989925	-689.668561054335
28	0.027	62.7464035583708	-618.346684301323
29	0.028	50.9794422149165	-558.48704824035
30	0.029	39.3687513351001	-510.316238291011
31	0.03	28.5081475765177	-473.381075660872
32	0.031	19.3508628858885	-446.454857255339
33	0.032	12.1625514139821	-427.701436931074
34	0.033	7.13073372016128	-415.058081189672
35	0.034	4.64607849062228	-406.17296190995
36	0.035	4.31791648340039	-398.694251248609
37	0.036	5.9743532917323	-390.551403186712
38	0.037	9.25597346013015	-379.939526636451
39	0.038	13.4908263153176	-365.569413574397
40	0.039	18.3194964197426	-346.667539032537
41	0.04	23.1637935750318	-322.929180860819
42	0.041	27.7111824804353	-294.494979658756
43	0.042	31.5084868462851	-261.888431821065
44	0.043	34.1806641247517	-226.047143161217
45	0.044	36.0089960124559	-187.955599918283
46	0.045	36.7278273678957	-148.590475053777
47	0.046	36.7278273678957	-108.865934511551
