No.	时间（s）	Dev1/ai0-1-测振（mm/s）	VH01-V1-Dev1/ai0一次积分（μm）
1	0	0.367717231069831	0
2	0.001	0.461477801307827	0.414597516188829
3	0.002	0.523984848172137	0.907328840928811
4	0.003	0.680252465469764	1.50944749774976
5	0.004	0.805266559449105	2.2522070102092
6	0.005	0.805266559449105	3.0574735696583
7	0.006	0.977160938876611	3.94868731882116
8	0.007	1.00841446243458	4.94147501947676
9	0.008	1.1334285567458	6.01239652906695
10	0.009	1.21156236575491	7.1848919903173
11	0.01	1.25844265118428	8.4198944987869
12	0.011	1.36782998392272	9.7330308163404
13	0.012	1.44596379308166	11.1399277048426
14	0.013	1.46159055491946	12.5937048788431
15	0.014	1.55535112598847	14.1021757192971
16	0.015	1.50847084044492	15.6340867025138
17	0.016	1.53972436413861	17.1581843048056
18	0.017	1.60223141155014	18.72916219265
19	0.018	1.53972436413861	20.3001400804943
20	0.019	1.57097788784035	21.8554912064838
21	0.02	1.53972436413861	23.4108423324733
22	0.021	1.53972436413861	24.9505666966119
23	0.022	1.53972436413861	26.4902910607505
24	0.023	1.49284407860109	28.0065752821204
25	0.024	1.49284407860109	29.4994193607215
26	0.025	1.43033703124586	30.9610099156449
27	0.026	1.3834567457505	32.3679068041431
28	0.027	1.35220322209695	33.7357367880669
29	0.028	1.2428158893725	35.0332463438016
30	0.029	1.21156236575491	36.2604354713653
31	0.03	1.07092150957431	37.4016774090299
32	0.031	1.0865482713642	38.4804122994991
33	0.032	1.00841446243458	39.5278936663985
34	0.033	0.930280653554498	40.4972412243931
35	0.034	0.899027130016307	41.4118951161785
36	0.035	0.805266559449105	42.2640419609112
37	0.036	0.680252465469764	43.0068014733706
38	0.037	0.680252465469764	43.6870539388404
39	0.038	0.586491895067699	44.3204261191091
40	0.039	0.570865133340875	44.8991046333134
41	0.04	0.492731324736079	45.4309028623519
42	0.041	0.430224277887373	45.8923806636636
43	0.042	0.336463707672728	46.2757246564437
44	0.043	0.305210184283395	46.5965616024217
45	0.044	0.227076375844004	46.8627048824854
46	0.045	0.0864355207749894	47.0194608307949
47	0.046	0.0395552357867175	47.0824562090758
48	0.047	-0.0698320957852483	47.0673177790765
49	0.048	-0.163592665629234	46.9506053983693
50	0.049	-0.226099712153614	46.7557592094778
51	0.05	-0.304233520266129	46.490592593268
52	0.051	-0.460501136348388	46.1082252649607
53	0.052	-0.507381421136052	45.6242839862185
54	0.053	-0.726156083253576	45.0075152340237
55	0.054	-0.741782844819265	44.2735457699873
56	0.055	-0.835543414173958	43.4848826404906
57	0.056	-0.976184268079547	42.5790187993639
58	0.057	-1.03869131421125	41.5715810082185
59	0.058	-1.17933216789872	40.4625692671635
60	0.059	-1.21058569091996	39.2676103377542
61	0.06	-1.28871949844065	38.0179577430739
62	0.061	-1.38248006740452	36.6823579601513
63	0.062	-1.39810682889204	35.292064512003
64	0.063	-1.52312092072601	33.831450637194
65	0.064	-1.49186739777854	32.3239564779417
66	0.065	-1.60125472806259	30.7773954150211
67	0.066	-1.58562796659894	29.1839540676904
68	0.067	-1.58562796659894	27.5983261010914
69	0.068	-1.67938853535343	25.9658178501153
70	0.069	-1.63250825098441	24.3098694569463
71	0.07	-1.64813501244257	22.6695478252329
72	0.071	-1.63250825098441	21.0292261935194
73	0.072	-1.58562796659894	19.4201580847277
74	0.073	-1.60125472806259	17.8267167373969
75	0.074	-1.52312092072601	16.2645289130026
76	0.075	-1.53874768219699	14.7335946115411
77	0.076	-1.46061387482373	13.2339138330308
78	0.077	-1.36685330591515	11.8201802426613
79	0.078	-1.38248006740452	10.4455135560015
80	0.079	-1.30434625993925	9.10210039232962
81	0.08	-1.19495892941027	7.85244779765487
82	0.081	-1.19495892941027	6.6574888682446
83	0.082	-1.05431807573952	5.53285036566971
84	0.083	-1.05431807573952	4.47853228993019
85	0.084	-0.944930745002502	3.47890787955918
86	0.085	-0.898050460372923	2.55741727687147
87	0.086	-0.804289891063234	1.70624710115339
88	0.087	-0.773036367945006	0.91758397164927
89	0.088	-0.694902560116555	0.183614507618489
90	0.089	-0.601141990660285	-0.464407767769931
91	0.09	-0.554261705906677	-1.04210961605341
92	0.091	-0.476127897946171	-1.55730441797984
93	0.092	-0.351113805110769	-1.97092526950831
94	0.093	-0.28860675864744	-2.29078555138741
95	0.094	-0.163592665629234	-2.51688526352575
96	0.095	-0.132339142355568	-2.66485116751815
97	0.096	-0.0698320957852483	-2.76593678658856
98	0.097	0.0239284741278116	-2.78888859741728
99	0.098	0.180196090803608	-2.68682631495157
100	0.099	0.258329899213946	-2.46756331994279
101	0.1	0.320836945977091	-2.17797989734727
102	0.101	0.383343992771298	-1.82588942797308
103	0.102	0.570865133340875	-1.34878486491699
104	0.103	0.617745418527217	-0.754479588982944
105	0.104	0.758386274192106	-0.0664137426232828
106	0.105	0.836520082963618	0.731039435954579
107	0.106	0.914653891784414	1.6066264233286
108	0.107	1.00841446243458	2.56816060043809
109	0.108	1.10217503315608	3.62345534823343
110	0.109	1.1959356039491	4.77251066678602
111	0.11	1.27406941299807	6.0075131752596
112	0.111	1.30532293663162	7.29720935007445
113	0.112	1.43033703124586	8.66503933401319
114	0.113	1.46159055491946	10.1110031270958
115	0.114	1.50847084044492	11.596033824778
116	0.115	1.55535112598847	13.1279448079947
117	0.116	1.52409760229076	14.6676691721343
118	0.117	1.58660464969424	16.2230202981269
119	0.118	1.58660464969424	17.8096249478211
120	0.119	1.60223141155014	19.4040429784433
121	0.12	1.57097788784035	20.9906476281385
122	0.121	1.53972436413861	22.545998754128
123	0.122	1.57097788784035	24.1013498801175
124	0.123	1.49284407860109	25.6332608633382
125	0.124	1.47721731675927	27.1182915610184
126	0.125	1.41471026941207	28.5642553541041
127	0.126	1.36782998392272	29.9555254807715
128	0.127	1.3209496984514	31.2999153219585
129	0.128	1.2428158893725	32.5817981158705
130	0.129	1.1959356039491	33.8011738625313
131	0.13	1.16468208034347	34.9814827046776
132	0.131	1.10217503315608	36.1149112614273
133	0.132	1.02404122421654	37.1780193901136
134	0.133	0.977160938876611	38.1786204716602
135	0.134	0.899027130016307	39.1167145061067
136	0.135	0.836520082963618	39.9844881125966
137	0.136	0.695879227210304	40.7506877676836
138	0.137	0.695879227210304	41.4465669948939
139	0.138	0.617745418527217	42.1033793177627
140	0.139	0.555238371616008	42.6898712128343
141	0.14	0.477104563020978	43.2060426801528
142	0.141	0.352090469370308	43.6206401963484
143	0.142	0.336463707672728	43.9649172848699
144	0.143	0.242703137528006	44.2545007074703
145	0.144	0.211449614161937	44.4815770833153
146	0.145	0.180196090803608	44.6773999357981
147	0.146	0.0395552357867175	44.7872755990932
