No.	时间（s）	Dev1/ai0-1-测振（mm/s）	VH01-V1-Dev1/ai0一次积分（μm）
114	0.113	-1.04610792136787	-5.00212033803627
115	0.114	-1.09298820593593	-6.07166840168817
116	0.115	-1.17112201351221	-7.20372351141224
117	0.116	-1.24925582104216	-8.41391242868943
118	0.117	-1.2648825825426	-9.67098163048181
119	0.118	-1.40552343596351	-11.0061846397349
120	0.119	-1.452403720404	-12.4351482179186
121	0.12	-1.452403720404	-13.8875519383226
122	0.121	-1.53053752776808	-15.3790225624087
123	0.122	-1.5461642892354	-16.9173734709104
124	0.123	-1.57741781216454	-18.4791645216104
125	0.124	-1.59304457362636	-20.0643957145058
126	0.125	-1.59304457362636	-21.6574402881322
127	0.126	-1.5461642892354	-23.227044719563
128	0.127	-1.49928400482795	-24.7497688665947
129	0.128	-1.56179105070088	-26.2803063943591
130	0.129	-1.49928400482795	-27.8108439221236
131	0.13	-1.43677695892567	-29.2788744040004
132	0.131	-1.42115019744551	-30.707837982186
133	0.132	-1.37426991299399	-32.1055480374057
134	0.133	-1.32738962852589	-33.4563778081657
135	0.134	-1.29613610553794	-34.7681406751976
136	0.135	-1.18674877502191	-36.0095831154775
137	0.136	-1.15549525200067	-37.1807051289888
138	0.137	-1.1086149674549	-38.3127602387166
139	0.138	-1.0148543983132	-39.3744949216006
140	0.139	-1.0148543983132	-40.3893493199138
141	0.14	-0.87421354447487	-41.3338832913078
142	0.141	-0.858586782927937	-42.2002834550092
143	0.142	-0.764826213607005	-43.0119899532767
144	0.143	-0.702319167355523	-43.745562643758
145	0.144	-0.671065644218502	-44.432255049545
146	0.145	-0.577305074762232	-45.0564404090354
147	0.146	-0.499171266830099	-45.5946785798315
148	0.147	-0.374157174040234	-46.0313428002667
149	0.148	-0.327276889212716	-46.3820598318932
150	0.149	-0.233516319506289	-46.6624564362527
151	0.15	-0.171009272997194	-46.8647192325044
152	0.151	-0.0772487031761889	-46.9888482205911
153	0.152	0.0321386283688831	-47.0114032579947
154	0.153	0.0946456750083588	-46.9480111063061
155	0.154	0.219659768379859	-46.790858384612
156	0.155	0.344673861875144	-46.5086915694845
157	0.156	0.422807670372763	-46.1249508033605
158	0.157	0.516568240634133	-45.6552628478571
159	0.158	0.610328810965752	-45.0918143220572
160	0.159	0.704089381367817	-44.4346052258904
161	0.16	0.782223190090159	-43.6914489401614
162	0.161	0.938490807682468	-42.8310919412751
163	0.162	0.938490807682468	-41.8926011335926
164	0.163	1.04787814011459	-40.8994166596941
165	0.164	1.11038518726226	-39.8202849960056
166	0.165	1.18851899624152	-38.6708329042537
167	0.166	1.26665280527055	-37.4432470034977
168	0.167	1.34478661434945	-36.1375272936877
169	0.168	1.42292042347834	-34.7536737747738
170	0.169	1.48542747081751	-33.2994998276259
171	0.17	1.46980070897971	-31.8218857377273
172	0.171	1.56356128003666	-30.3052047432191
173	0.172	1.56356128003666	-28.7416434631824
174	0.173	1.56356128003666	-27.1780821831458
175	0.174	1.6260683274482	-25.5832673794033
176	0.175	1.61044156559229	-23.9650124328831
177	0.176	1.56356128003666	-22.3780110100686
178	0.177	1.5948148037384	-20.7988229681811
179	0.178	1.50105423265733	-19.2508884499832
180	0.179	1.54793451818881	-17.7263940745601
181	0.18	1.45417394714391	-16.2253398418938
182	0.181	1.43854718531012	-14.7789792756668
183	0.182	1.42292042347834	-13.3482454712725
184	0.183	1.3135330907119	-11.9800187141774
185	0.184	1.23539928165296	-10.705552527995
186	0.185	1.18851899624152	-9.49359338904774
187	0.186	1.12601194905413	-8.33632791639991
188	0.187	1.04787814011459	-7.24938287181555
189	0.188	1.01662461655266	-6.21713149348192
190	0.189	0.954117569452551	-5.23176040047931
191	0.19	0.860356998861671	-4.3245231163222
192	0.191	0.813476713592857	-3.48760626009494
193	0.192	0.797849951840524	-2.68194292737825
194	0.193	0.719716143108357	-1.92315987990381
195	0.194	0.594702049238928	-1.26595078373016
196	0.195	0.532195002351185	-0.702502257935106
197	0.196	0.469687955494679	-0.201560779012174
198	0.197	0.438434432078121	0.252500414774226
199	0.198	0.329047100181448	0.63624118090401
200	0.199	0.188406245025397	0.894967853507433
201	0.2	0.172779483351065	1.07556071769566
202	0.201	0.125899198339654	1.22490005854102
203	0.202	0.000885105060688461	1.2882922102412
204	0.203	-0.0616219415326508	1.25792379200521
205	0.204	-0.171009272997194	1.14160818474029
206	0.205	-0.233516319506289	0.93934538848855
207	0.206	-0.34290365082379	0.651135403323511
208	0.207	-0.436664220450335	0.261351467686448
209	0.208	-0.546051551595049	-0.230006418336244
210	0.209	-0.639812121073951	-0.822938254670744
211	0.21	-0.702319167355523	-1.49400389888548
212	0.211	-0.842960021379132	-2.26664349325281
213	0.212	-0.905467067563125	-3.14085703772394
214	0.213	-1.03048115984147	-4.10883115142623
215	0.214	-1.0773614444151	-5.16275245355452
216	0.215	-1.17112201351221	-6.28699418251817
217	0.216	-1.2648825825426	-7.50499648054558
218	0.217	-1.35864315150646	-8.81675934757011
219	0.218	-1.38989667447967	-10.1910292605632
220	0.219	-1.40552343596351	-11.5887393157848
221	0.22	-1.452403720404	-13.0177028939685
222	0.221	-1.48365724335514	-14.4857333758481
