No.	时间（s）	Dev1/ai0-1-测振（mm/s）	VH01-V1-Dev1/ai0一次积分（μm）
1	0	1.35965035091535	0
2	0.001	1.4065306364047	1.38309049366003
3	0.002	1.29714330362425	2.7349274636745
4	0.003	1.25026301817691	4.00863062457508
5	0.004	1.18775597094173	5.2276401191344
6	0.005	1.1565024473361	6.39976932827332
7	0.006	1.03148835299311	7.49376472843792
8	0.007	1.03148835299311	8.52525308143103
9	0.008	0.906474258777043	9.49423438731611
10	0.009	0.843967211716459	10.3694551225629
11	0.01	0.781460164687432	11.1821688107648
12	0.011	0.734579879436336	11.9401888328267
13	0.012	0.625192547252542	12.6200750461711
14	0.013	0.593939023789107	13.229640831692
15	0.014	0.484551691728708	13.7688861894509
16	0.015	0.453298168300455	14.2378111194654
17	0.016	0.343910836362936	14.6364156217971
18	0.017	0.281403789584267	14.9490729347707
19	0.018	0.218896742836632	15.1992232009812
20	0.019	0.172016457796236	15.3946798012976
21	0.02	0.0782558877676179	15.5198159740795
22	0.021	0.031375602779346	15.574631719353
23	0.022	-0.124892013723235	15.5278735138811
24	0.023	-0.203025821902619	15.3639145960682
25	0.024	-0.281159630034216	15.1218218700997
26	0.025	-0.46868076935576	14.7469016704048
27	0.026	-0.49993429254943	14.2625941394522
28	0.027	-0.609321623667657	13.7079661813436
29	0.028	-0.687455431552593	13.0595776537335
30	0.029	-0.765589239390446	12.333055318262
31	0.03	-0.953110378009874	11.4737055095618
32	0.031	-0.984363901086919	10.5049683700134
33	0.032	-1.04687094721862	9.48935094586064
34	0.033	-1.15625827787743	8.38778633331261
35	0.034	-1.21876532392733	7.20027453241023
36	0.035	-1.2656456084453	5.95806906622392
37	0.036	-1.34377941593826	4.65335655403214
38	0.037	-1.40628646189941	3.2783236151133
39	0.038	-1.45316674635094	1.84859701098812
40	0.039	-1.54692731520436	0.348549980210476
41	0.04	-1.57818083814082	-1.21400409646211
42	0.041	-1.59380759960631	-2.79999831533568
43	0.042	-1.56255407667351	-4.37817915347559
44	0.043	-1.62506112253178	-5.97198675307823
45	0.044	-1.62506112253178	-7.59704787561002
46	0.045	-1.64068788399178	-9.2299223788718
47	0.046	-1.60943436106996	-10.8549835014027
48	0.047	-1.59380759960631	-12.4566044817408
49	0.048	-1.54692731520436	-14.0269719391461
50	0.049	-1.48442026930942	-15.542645731403
51	0.05	-1.4687935078311	-17.0192526199733
52	0.051	-1.45316674635094	-18.4802327470643
53	0.052	-1.40628646189941	-19.9099593511895
54	0.053	-1.31252589294662	-21.2693655286125
55	0.054	-1.21876532392733	-22.5350111370495
56	0.055	-1.18751180090609	-23.7381496994662
57	0.056	-1.09375123179784	-24.8787812158181
58	0.057	-1.06249770874689	-25.9569056860905
59	0.058	-0.984363901086919	-26.9803364910074
60	0.059	-0.921856854925357	-27.9334468690136
61	0.06	-0.85934980873388	-28.8240502008432
62	0.061	-0.828096285626905	-29.6677732480236
63	0.062	-0.718708954693378	-30.4411758681837
64	0.063	-0.640575146827289	-31.120817918944
65	0.064	-0.578068100500474	-31.7301395426079
66	0.065	-0.531187815735524	-32.2847675007259
67	0.066	-0.453054007756081	-32.7768884124717
