No.	时间（s）	Dev1/ai0-1-测振（mm/s）	VH01-V1-Dev1/ai0一次积分（μm）
1	0	-1.3724081308067	0
2	0.001	-1.26302080036822	-1.31771446558746
3	0.002	-1.2161405158669	-2.55729512370502
4	0.003	-1.16926023134893	-3.74999549731294
5	0.004	-1.12237994681429	-4.89581558639455
6	0.005	-1.07549966226296	-5.99475539093318
7	0.006	-1.0286193776949	-7.04681491091211
8	0.007	-0.919232046970933	-8.02074062324503
9	0.008	-0.841098239254965	-8.90090576635797
10	0.009	-0.762964431492209	-9.70293710173156
11	0.01	-0.71608414681205	-10.4424613908837
12	0.011	-0.637950338974197	-11.1194786337768
13	0.012	-0.606696815825879	-11.7418022111769
14	0.013	-0.497309484747335	-12.2938053614635
15	0.014	-0.403548915177685	-12.744234561426
16	0.015	-0.325415107150818	-13.1087165725902
17	0.016	-0.247281299076415	-13.3950647757038
18	0.017	-0.200401014208908	-13.6189059323465
19	0.018	-0.0753869211448385	-13.7567999000234
20	0.019	-0.0441333978596793	-13.8165600595256
21	0.02	0.0496271720418547	-13.8138131724345
22	0.021	0.174641265351636	-13.7016789537378
23	0.022	0.23714831205283	-13.4957841650356
24	0.023	0.409042690640856	-13.1726886636887
25	0.024	0.424669452342323	-12.7558325921971
26	0.025	0.534056784307104	-12.2764694738724
27	0.026	0.643444116367504	-11.6877190235351
28	0.027	0.7684582102683	-10.9817678602172
29	0.028	0.877845542534643	-10.1586159838157
30	0.029	0.971606113125522	-9.23389015598566
31	0.03	1.04973992200561	-8.22321713842009
32	0.031	1.14350049272711	-7.12659693105374
33	0.032	1.17475401631682	-5.96746967653177
34	0.033	1.26851458713373	-4.74583537480649
35	0.034	1.33102163438487	-3.4460672640472
36	0.035	1.44040896715131	-2.06035196327911
37	0.036	1.53416953817212	-0.573062710617394
38	0.037	1.50291601449049	0.945480065713907
39	0.038	1.5185427763303	2.4562094611243
40	0.039	1.56542306186179	3.99819238022034
41	0.04	1.62793010926526	5.59486896578386
42	0.041	1.61230334741137	7.21498569412218
43	0.042	1.58104982370964	8.81166227968269
44	0.043	1.58104982370964	10.3927121033923
45	0.044	1.62793010926526	11.9972020698798
46	0.045	1.54979630001595	13.5860652745204
47	0.046	1.53416953817212	15.1280481936144
48	0.047	1.50291601449049	16.6465909699457
49	0.048	1.50291601449049	18.1495069844362
50	0.049	1.39352868166797	19.5977293325154
51	0.05	1.3779019198442	20.9834446332715
52	0.051	1.31539487256909	22.3300930294782
53	0.052	1.19038077811466	23.58298085482
54	0.053	1.17475401631682	24.7655482520358
55	0.054	1.14350049272711	25.9246755065577
56	0.055	1.04973992200561	27.0212957139241
57	0.056	1.01848639844764	28.0554088741507
58	0.057	0.955979351355439	29.0426417490523
59	0.058	0.877845542534643	29.9595541959973
60	0.059	0.830965257265829	30.8139595958975
61	0.06	0.737204686781329	31.5980445679211
62	0.061	0.674697639830938	32.3039957312273
63	0.062	0.596563831187033	32.9396264667362
64	0.063	0.549683546024157	33.5127501553418
65	0.064	0.48717649916765	34.0311801779377
66	0.065	0.346535643854419	34.4480362494488
67	0.066	0.330908882162664	34.7867585124573
68	0.067	0.23714831205283	35.0707871095651
69	0.068	0.252775073732962	35.315748802458
70	0.069	0.143387742012626	35.5138302103308
71	0.07	0.01837364873366	35.5947109057039
72	0.071	-0.0285066362142235	35.5896444119636
73	0.072	-0.184774252582589	35.4830039675652
74	0.073	-0.23165453745582	35.274789572546
75	0.074	-0.325415107150818	34.9962547502427
76	0.075	-0.450429199971034	34.6083325966818
77	0.076	-0.512936246335652	34.1266498735284
78	0.077	-0.700457385248241	33.5199530577365
79	0.078	-0.747337669934034	32.7960555301453
80	0.079	-0.825471477706161	32.0096509563252
81	0.08	-0.950485570044245	31.12167243245
82	0.081	-1.04424613921945	30.1243065778182
83	0.082	-1.12237994681429	29.0409935348013
84	0.083	-1.18488699285677	27.8873600649658
85	0.084	-1.24739403886963	26.6712195491026
86	0.085	-1.35678136932102	25.3691318450073
87	0.086	-1.38803489229054	23.9967237142015
88	0.087	-1.46616869968217	22.5696219182151
89	0.088	-1.49742222262596	21.0878264570611
90	0.089	-1.54430250702791	19.5669640922341
91	0.09	-1.54430250702791	18.0226615852062
92	0.091	-1.54430250702791	16.4783590781783
93	0.092	-1.62243631432789	14.8949896675004
94	0.093	-1.57555602995339	13.2959934953598
95	0.094	-1.54430250702791	11.7360642268691
96	0.095	-1.57555602995339	10.1761349583785
97	0.096	-1.49742222262596	8.63964583208879
98	0.097	-1.4192884152527	7.18129051314946
99	0.098	-1.43491517673103	5.75418871715759
100	0.099	-1.40366165377254	4.33490030190581
101	0.1	-1.34115460783349	2.96249217110279
102	0.101	-1.26302080036822	1.66040446700193
103	0.102	-1.2161405158669	0.420823808884372
104	0.103	-1.18488699285677	-0.779689945477467
105	0.104	-1.12237994681429	-1.933323415313
106	0.105	-1.0286193776949	-3.0088230775676
107	0.106	-0.966112331578103	-4.0061889322041
108	0.107	-0.887978523890153	-4.93323435993823
109	0.108	-0.794217954602934	-5.77433259918477
110	0.109	-0.778591193048509	-6.56073717301049
